,citiname,Latitude,Longitude,Temperature,WindSpeed,Cloudiess,Humidity
1,huangnihe,43.56,128.02,7.65,4.61,20.0,73.0
2,oparino,59.85,48.28,4.95,6.02,48.0,76.0
3,graneros,-27.65,-65.44,70.06,4.38,92.0,94.0
4,riachao do jacuipe,-11.81,-39.39,80.95,2.1,80.0,79.0
5,kota tinggi,1.73,103.9,78.8,3.36,75.0,88.0
6,tateyama,36.66,137.31,39.2,2.59,90.0,80.0
7,amalfi,6.91,-75.07,70.65,1.54,32.0,96.0
8,kargasok,59.06,80.87,9.58,8.75,36.0,62.0
9,kailua,21.39,-157.74,80.6,13.87,40.0,56.0
10,beldanga,23.94,88.24,60.48,2.89,0.0,66.0
12,baracoa,20.35,-74.5,75.37,7.29,0.0,100.0
13,fagernes,60.99,9.24,16.38,2.26,92.0,90.0
14,lorengau,-2.02,147.27,83.47,10.09,36.0,99.0
15,songkhla,7.2,100.6,75.2,14.79,40.0,94.0
16,rodez,44.35,2.57,35.6,4.7,75.0,93.0
17,bedesa,8.9,40.78,42.79,2.48,0.0,81.0
18,chandbali,20.77,86.74,73.66,5.23,0.0,100.0
19,shitanjing,39.23,106.34,8.28,2.21,0.0,62.0
20,boueni,-12.9,45.08,80.6,10.29,48.0,83.0
21,shizunai,42.33,142.37,28.3,11.43,92.0,90.0
22,shenkursk,62.11,42.91,0.85,6.13,0.0,73.0
23,lapua,62.97,23.01,8.6,5.82,0.0,65.0
25,autun,46.95,4.3,41.0,4.7,48.0,75.0
26,necochea,-38.55,-58.74,66.73,3.0,0.0,64.0
27,toamasina,-18.17,49.38,77.0,2.59,75.0,94.0
28,tolaga bay,-38.37,178.3,67.54,7.29,92.0,97.0
29,bangassou,4.74,22.82,73.57,2.33,48.0,93.0
30,qianguo,45.12,124.86,-7.79,3.0,32.0,63.0
32,queenstown,-45.03,168.66,55.57,2.1,0.0,75.0
33,pangai,-19.8,-174.35,84.2,12.75,75.0,83.0
34,puerto leguizamo,-0.19,-74.78,79.69,1.77,8.0,85.0
35,devils lake,48.11,-98.87,23.0,12.75,90.0,79.0
37,paracuru,-3.41,-39.03,82.4,6.93,75.0,83.0
38,galle,29.74,-97.91,66.2,10.29,1.0,19.0
39,clarence town,-32.59,151.78,73.4,14.99,75.0,56.0
40,tsiroanomandidy,-18.77,46.05,65.88,3.33,100.0,99.0
41,nurota,40.56,65.69,48.2,20.8,0.0,81.0
42,suhindol,43.19,25.17,41.0,5.82,0.0,100.0
43,remedios,22.5,-79.55,80.6,11.41,40.0,42.0
44,marawi,8.0,124.29,73.3,2.89,12.0,83.0
46,kondinskoye,59.65,67.41,11.43,9.26,56.0,70.0
48,piacabucu,-10.41,-36.43,80.68,14.34,0.0,78.0
49,chirongui,-12.93,45.15,80.6,10.29,48.0,83.0
50,qaanaaq,77.48,-69.36,-10.94,1.25,24.0,90.0
51,padampur,29.71,73.62,64.62,2.89,8.0,73.0
52,katima mulilo,-17.5,24.28,68.08,2.82,36.0,87.0
53,kuloy,61.03,42.49,-12.92,4.61,0.0,40.0
54,gurjaani,41.75,45.79,28.98,1.88,0.0,82.0
56,urcos,-13.69,-71.62,55.4,9.17,75.0,66.0
57,forbes,-33.38,148.01,67.45,8.14,0.0,83.0
58,basoko,1.23,23.61,76.0,4.27,56.0,78.0
59,ambanja,-13.68,48.45,68.44,2.71,92.0,100.0
60,mandera,3.94,41.86,81.72,4.34,32.0,41.0
61,kapiri mposhi,-13.97,28.68,59.62,2.82,0.0,91.0
62,dombarovskiy,50.76,59.54,-4.28,3.0,56.0,65.0
63,miramar,10.09,-84.73,80.6,16.11,0.0,47.0
64,san luis,-33.3,-66.34,81.4,10.31,44.0,27.0
65,kursavka,44.46,42.51,32.0,2.24,56.0,90.0
66,garowe,8.41,48.48,64.35,7.85,0.0,55.0
68,cidreira,-30.17,-50.22,69.07,7.25,20.0,77.0
69,boa vista,2.82,-60.67,81.9,11.39,48.0,67.0
70,luanshya,-13.14,28.42,62.86,2.77,12.0,93.0
71,snezhnogorsk,69.19,33.23,-18.41,2.24,0.0,68.0
72,bayan,47.25,107.54,-3.47,2.89,0.0,53.0
73,san antonio,-33.58,-71.61,66.2,5.82,0.0,68.0
74,jijiga,9.35,42.8,40.54,1.81,0.0,83.0
75,abnub,27.27,31.15,73.4,6.93,0.0,27.0
76,ilesha,7.14,5.26,74.38,4.72,0.0,88.0
77,caibarien,22.52,-79.47,80.6,11.41,40.0,42.0
78,colesberg,-30.72,25.1,57.33,3.27,32.0,100.0
79,carman,49.51,-98.0,23.0,10.29,1.0,67.0
80,richards bay,-28.77,32.06,71.5,3.38,36.0,98.0
81,hokitika,-42.72,170.96,65.43,2.37,0.0,87.0
82,panzhihua,26.59,101.72,38.97,1.25,0.0,63.0
83,storm lake,42.64,-95.21,26.6,19.46,75.0,85.0
84,tortosa,40.81,0.52,46.4,3.36,0.0,70.0
85,san vicente de canete,-13.08,-76.38,67.99,2.26,8.0,77.0
86,ontario,34.07,-117.65,73.4,2.82,75.0,12.0
87,teluk intan,4.02,101.03,75.2,1.81,75.0,100.0
88,osmena,12.17,124.59,79.87,6.8,44.0,92.0
